,hotel,urls,reviewer,review_overall,title,text,ReviewerValue,ReviewerLocation,ReviewerService,ReviewerRooms,ReviewerCleanliness,ReviewerSleepQuality,Date of Stay,Trip Type,Contributions,Helpful Vote
10,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or10-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Ryan Smith ,5.0,"Clean, beautiful, friendly",London house is top notch. Nicole at the front desk was extremely friendly and selected an outstanding room for us. This is the place to stay when visiting Chicago. Location is excellent and the rooms are beautiful.,,,,,,,December 2021,Traveled as a couple,1,
11,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or10-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Jimbosh12 ,5.0,Engagement Proposal,Top-Notch Phenomenal venue and service.  Manny was incredible from start to finish ensuring every detail went perfect as planned.  Thank you for helping create a moment in time captured for us to share forever. We are so grateful!,5.0,5.0,5.0,,,,December 2021,,1,
12,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or10-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,CBUSTRVLR ,5.0,"Great Hotel, Amazing Value","This hotel is top-notch. Rooms are well appointed with a great bed. The view from our room was amazing! Staff was great, very nice and helpful. Had a particularly lovely interaction with Edgar at the front desk, he helped to check us in and check us out. He was very nice and provided excellent service. Breakfast was very good at the restaurant. Elevator situation is a bit confusing. Guests weren't told that they needed to select the floor for each passenger. This meant that often the elevator you were assigned would be full of a family of six. I'm guessing that this is less of a problem on weekends that aren't a major holiday. But for the price, this hotel is a no-brainer; beautiful rooms, great staff, and a fantastic location.",,,5.0,,5.0,5.0,December 2021,,57,60.0
13,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or10-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,DeTonio M ,5.0,Amazing Stay,"We absolutely enjoyed our stay at the hotel. Everything was clean and the staff was very friendly, and they were very attentive to make sure our stay was great. I always stay at Hiltons because I travel a lot for work, and this was one of the best experiences I’ve had this year in a Hilton hotel. I’ll definitely be staying here again when I come back to Chicago.",,,,,,,December 2021,Traveled as a couple,1,
14,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or10-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Nick D ,5.0,"Great Location, Top Notch Service ","This was our second time staying at the London House.  Staff is always friendly and eager to help. We were able to check in early upon arrival, which was appreciated. On-site restaurants are great and the location is unbeatable.  River views are amazing from the rooms and rooftop.  Rooms are updated and tastefully decorated.  Big plus for the complimentary bathrobes!  We will stay here again when we return to Chicago.",,,,,,,December 2021,Traveled as a couple,1,
15,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or15-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Devon Guishard ,5.0,I must say the place is costly so need a pocket full,"After landing at the airport, the next destination was to the hotel and check-in. I have done all the research for the best hotels in Chicago. I found London House Hotel meeting my requirements. But I must say the place is costly so need a pocket full of dollars to pay the bills. Well, I am not that rich to afford this hotel but to stay in a luxury hotel has always been my dream. So, this time I have made my dream come true. London House Hotel, Chicago is a very trendy, comfy, luxurious, and travelers-friendly place. The swimming pool, dining area, room, and sitting area are clean and refined. The city view from the room window, Food, floor staff, and the attendants is good.",,5.0,5.0,5.0,,,October 2021,Traveled on business,6,1.0
16,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or15-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Alamills ,4.0,A Couple of Days,We stayed at the hotel a couple of nights over the weekend. Every staff person we interacted with was friendly and helpful. The room was perfect for our needs. The hotel is perfectly situated downtown and many of the places we wanted to see or visit were within walking distance. The one qualm is with the elevators which aren’t as fast as one would like. The bar and terrace on floors 20 / 21 are great. So in any case a very good experience.,,,,,,,December 2021,Traveled with family,426,94.0
17,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or15-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Jonathan D ,5.0,Cupola Proposal,My proposal at the London House Cupola was absolutely perfect! Planning and working with Manny to set everything up was great and he was very helpful and prompt with everything. I wouldn’t change a thing and me and my fiancé were very happy and pleased with the experience!,,,,,,,December 2021,Traveled as a couple,1,
18,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or15-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Darshan ,5.0,LondonHouse Cupola Proposal,LondonHouse Cupola is the best place for proposal. The views of the city are amazing from the cupola. I was able to surprise my girlfriend and both our family during my Proposal. Cupola provides the privacy that you need in the big city with the views that are stunning. The Cupola itself looks like a place that is part of Castle. This makes it perfect to have your Proposal in the Castle vibe in the city of Chicago. Really loved the my experience here at LondonHouse. They made my proposal day one of the best day for my fiance and my family. I really appreciate all of the help I got from Manny to create great memories at the  LondonHoue Cupola. I recommend everyone to visit the Cupola at least once especially if you're a Chicagoan.,,,5.0,,,,December 2021,,1,
19,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or15-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Jaycub Y ,5.0,It was a great weekend because of the hotel stay.,"The location, the room, overall hotel was excellent. It was very clean. When we arrived we were greeted by every employee we seen. The woman that helped us was great shout out to Nicke T. She was very helpful and even got us a great room with a great view. She also gave us recommendations for the city and made us feel very welcome.",,,,,,,December 2021,Traveled as a couple,1,
20,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or20-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Palak S ,5.0,Surprise proposal went great!,Manny and his team were fantastic in helping me surprise my (new) fiancé in my proposal at the LondonHouse Cupola! They helped figure out Al the details 2 months in advance. It was such a sweet moment and a day we’ll never forget. Thank you!,,,,,,,December 2021,Traveled as a couple,1,
21,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or20-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,George H ,5.0,Wonderful,"My wife and I just returned from Chicago from a Long Overdue Personal Vacation. The London House is Spectacular, from the Greetings walking in and our room was Exceptional. We ate at Ocean Prime and it was Beyond Words and the Rooftop Bar was Exciting with Spectacular View. All the staff we encountered were very friendly and giving of their time! We will definitely be Repeat Travelers.Thank You,George",,,,,,,December 2021,Traveled as a couple,27,8.0
22,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or20-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Brittany D ,5.0,Amazing review for an amazing hotel!,"My husband and I staid at this hotel last weekend for business and it was amazing! Check in with Nicole T. was so smooth and warming. We talked for about 5 minutes and she made check in feel like home. We were able to upgrade the room and the view was very much everything!!!! Loved the room from the view, the bathroom, the robes, house shoes lol, literally everything was amazing. Only thing missing was a microwave. Check out was even smoother!",,,,,,,December 2021,Traveled on business,1,
23,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or20-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Robert L ,5.0,Perfect stay,"My wife and I came into Chicago for an overnight and we thought this hotel was in an excellent location.  We were right.  We were able to walk to the Art Institute of Chicago, an excellent restaurant for breakfast and a short cab ride to another outstanding restaurant for dinner.  The room was overlooking the river and we didn’t have to see the Trump Tower. I asked for some extra espresso pods about the time we came back from dinner they were there.",5.0,5.0,5.0,5.0,5.0,5.0,December 2021,,558,128.0
24,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or20-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Ryan F ,5.0,The only place to stay in Chicago!,I've spent over 100 nights at this hotel. Finally back after a two year hiatus during the pandemic. The service and amenities are stellar. The staff is even better! The LondonHouse remains the best in the game!,,,,,,,December 2021,Traveled on business,3,
25,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or25-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,jrmiller22 ,5.0,Excellent experience!,"From the valet, through the check in process, to the cleanliness of the hotel and room, our stay was great! The views of the river from our room were also great. We would absolutely recommend a stay at this property while visiting the downtown Chicago area.",4.0,5.0,5.0,5.0,5.0,4.0,December 2021,,1,
26,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or25-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Rebecca G ,5.0,100% amazed,"It’s our first time staying here at London House in Chicago and we could not be more impressed. Since the moment we arrived at checked in with Edgar, we felt right at home! He did an amazing job making the check in quick and easy, and definitely secured our decision to come back. Rate 1-10? We give it a 11! The view is breathtaking too!",,,,,,,December 2021,Traveled with friends,1,
27,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or25-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,samD2644QV ,3.0,Trouble with customer service,"I had trouble with customer service throughout my entire stay. The lady that booked my stay was unprofessional and uninformed. She stated that I would have a riverfront view, and upon arrival I found out the room that was booked was not a riverfront room. I spent over an hour on the phone with three different employees explaining my situation. They finally said it was their mistake and that I would have a riverfront room with no additional charge. I checked my expenses from the trip a few days later and realized I was charged an additional $90 for the new room. I had lots of trouble with customer service, but the location and rooms were perfect.",3.0,5.0,2.0,5.0,5.0,5.0,December 2021,,1,
28,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or25-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,OilersFan73 ,5.0,Always great,"I stay at the London House as often as I can when I am in Chicago. The rooms are spacious, beds comfortable, toiletries are great, and the location is perfect. I always get great service but want to especially recognize Nabi. I have been coming there for years and, even through COVID, he has a smile on his face, remembers me, and makes me feel welcome.",,,,,,,December 2021,Traveled on business,4,12.0
29,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or25-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Brooks M ,5.0,Beautiful hotel in the heart of Chicago,"With all the choices in Chicago I'm so glad we decided on LondonHouse! Not only was the room comfortable with a great view of the city and river below, but the staff was super friendly and accommodating as well. Nicole went above to make our stay as enjoyable as possible. Bed was comfortable, room was beautifully designed including great amenities like a Nespresso machine and Malin+Goetz shower products. We would definitely visit again!",,5.0,5.0,,,5.0,December 2021,,1,
30,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or30-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Lucky L ,5.0,Cupola Proposal,"What a dreamy, movie-like experience was my engagement proposal at the LH Rooftop Cupola. Surprised as I was, Manny played his role until the very end, and was super helpful throughout the photoshoot. Adventurous yet safe, with unmatched views and service. The food was also delicious.",,5.0,4.0,,,,December 2021,,1,
31,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or30-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Anthony G ,5.0,12-08-2021 Proposal,Manny did an excellent job at meeting and exceeding my expectations. He was able to make such a memorable moment come true in such short notice. I was able to meet with him a week prior to discuss any questions I had and he was able to answer every question as well as give me tips and advice. He always stayed in communication. His level of professionalism and experience are A+++. I would highly recommend and use Manny for any of my future planning.,,,,,,,December 2021,Traveled as a couple,1,
32,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or30-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Nick Gramza ,5.0,Nick & Sarah's Engagement,"Overall this experience was amazing! I proposed to my girlfriend late Saturday night and surprised her with family and friends! Manny was incredible to work with and really helped me pull off this special night! It was truly an amazing experience, and most importantly, she was completely surprised and caught off guard!I was able to surprise her with a private area in the Cupola on the rooftop with rose petals, a bottle of Dom and a ring!The entire evening was something out of a movie and I can't thank Manny and LondonHouse enough for the incredible experience!If you are looking for a great place to propose in Chicago, this is the best place to do it!",5.0,,5.0,,,5.0,December 2021,,1,
33,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or30-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,jeffreymperry ,5.0,Great place!!,Great hotel!  Great people and amenities.  Excellent location.  River rooms had amazing views. The higher the better.  Roof top bar was great fun.  Beautifully decorated for Christmas.  I will be back.  Hotel is win!,5.0,5.0,5.0,5.0,5.0,5.0,December 2021,Traveled on business,1,
34,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or30-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Resort526595 ,5.0,my daughters wedding,I had the best experience!! the food was amazing and everything was beautiful and everyone was so helpful!!totally worth the value.  We loved the rooftop decorations and the bar on the 21 floor.  The brunch was amazing as well.,5.0,5.0,5.0,5.0,5.0,5.0,December 2021,,1,
35,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or35-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Mynameisjadem ,5.0,Can’t recommend highly enough - outstanding hotel,"Wow, not much to say except “stay here!” A beautiful, super central hotel with the most excellent, wonderful staff you’ll ever meet - customer service is outstanding and they literally can’t do enough for you! Even after meeting me once, they remembered my name and used it when I saw them in the lift etc - so personable.Hotel room wise, bathroom is absolutely huge with lovely double shower. Bedroom is stylish and bed is dreamy! I’d highly recommend the rooftop bar too - decorated beautifully for Christmas with some amazing views. Drinks prices were steep but so are any rooftop bars of the same calibre. Will absolutely return on my next trip to Chicago!",,,,,,,December 2021,Traveled as a couple,145,181.0
36,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or35-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,charep07 ,5.0,Amazing is an understatement,"The hotel was fabulous! Wonderful staff, amenities, and food/beverage options, with very comfortable and clean rooms. Nicole helped me during my stay and she was such a delight! She highlighted what I should expect my whole stay and noted that if I had any issues to reach out. She also gave me a beautiful view of the city!",5.0,5.0,5.0,5.0,5.0,5.0,December 2021,Traveled on business,1,
37,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or35-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,850cici ,5.0,Nice and feels like nice vacation,"If you are trying to choose one of the hotels in this area choose this one. I stayed in London House, my cousin stayed in Hyatt and his room compare to mine was like so dated. This hotel is nicer, cleaner and fells safer. Ask for room with a view and walk to the Chicago Art Museum. The Bean is only 10 mins away.",,,,,,,December 2021,Traveled solo,38,2.0
38,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or35-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,marc M ,5.0,The Perfect Marriage Proposal,"What can I say, Manny at the Londonhouse absolutely made everything magical.  The Hotel itself is absolutely amazing but what Manny did executing my surprise proposal in the Cupola was amazing.  My future wife was completely surprised and shocked, I couldn’t have asked for anything more.  Something I thought would be stressful was really smooth and easy.  Everything about the hotel made this day unforgettable.",,,,,,,December 2021,Traveled as a couple,1,
39,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or35-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,paulK4891YU ,5.0,One of my favourite stays in Chicago,From the moment I entered this hotel I felt welcomed!  Throughout the check-in process Ken was amazing.  In fact throughout my short stay Ken was extremely engaging and accommodating.  Thanks for making my stay!,5.0,5.0,5.0,5.0,5.0,5.0,December 2021,Traveled on business,1,
40,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or40-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Edgar A ,5.0,Edgar & Rebecca Proposal,It was a amazing experience. Everything was perfect and my partner was surprised thoroughly. And we enjoy the whole atmosphere and area. We are excited to get back our photos. Will definitely come back to enjoy other amenities.,,,,,,,December 2021,Traveled as a couple,1,
41,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or40-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Mike F ,5.0,London House Cupola Proposal,"I recently proposed to my now fiancé at the Cupola at LH and it exceeded expectations. From initial contact, Manny was great to work with. His attention to detail and organization of the entire event was superb. Lindsay and Sid, the photographers, were wonderful to work with as well. Manny ensured everything ran smoothly the day of and provided several accommodations throughout the proposal. Wd couldn't be happier with our experience.",,,,,,,December 2021,,1,
42,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or40-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Jim W ,5.0,"Great Location, Superb Room","We selected The LondonHouse because we wanted a luxury hotel. We loved every minute of our stay. A beautiful fresh room overlooking the Chicago River. Very busy yet the quietest hotel we have ever stayed. We walked everywhere from this location . .  . the Art Institute, Millennium Park, The Nederlander theatre, the Remington , Petterinos. We highly recommend it. . . worth every penny!",,5.0,5.0,,5.0,,December 2021,,185,68.0
43,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or40-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Will ,5.0,LondonHouse made my proposal incredibly special,I recently proposed to my fiance at the LondonHouse Coppola and I can’t begin to describe how fantastic they were. Manny organized everything and did and incredible job and the photos that Lindsay took were amazing. They made sure that everything for that special occasion was perfect and went off without a hitch.,,,,,,,November 2021,Traveled as a couple,1,
44,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or40-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,johninwright ,5.0,Back in Chicago!,"Very good room with views of the Chicago Riverfront Walk at the Corner of Wacker and Michigan.  Very hospitable reception staff.  My second stay this year.  Last one was in September.  Convenient location.  Great area for walking, running, shopping, dining, and also easy job to Lakeshore Drive.",,,5.0,,5.0,5.0,December 2021,Traveled on business,102,56.0
45,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or45-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Luke B ,5.0,Thanksgiving getaway,Walked in the day of and reserved an awesome room. The staff was beyond great and made our stay that much better with handling everything for us. Everyone on staff was extremely kind and offered any assistance they could to make our stay that much better. Will be back for NYE.,,,,,,,November 2021,Traveled as a couple,7,
46,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or45-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Karen K ,5.0,The only place to stay!,"Arrived around 12:30 pm, parked bags with bell hop, got checked in, and the person checking me in said she'd give me a text when my room was ready, which was around 2:30 (check-in is not until 4). Just a lovely room. I requested a great view and got it. Room service every morning was impeccable and the best coffee I've had in a long time. Highly recommend the omelet. Requested no housekeeping because COVID, fresh towels were promptly delivered. Masks required throughout the hotel, I felt really safe. Gwen in in-room dining has a connection to my current state. It was fun to visit with her about it. All the staff helpful and friendly without overdoing it. I would stay there again and again. One reviewer complained that housekeeping ""ruined the mood"" by walking in the room. There's a door tag for privacy which he needed to use.",5.0,,5.0,,,5.0,November 2021,,13,
47,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or45-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Om27967 ,3.0,Just okay,Overall good hotel. They “upgraded” for more cost per night because the room I booked didn’t have much of a view according to the front desk. View was okay not amazing. Housekeeping likes to tap on door so they walked in on us. Killed the mood. I’ve had better experiences elsewhere. Only major plus was location but there are at least 5 other places in that area.,2.0,5.0,4.0,2.0,5.0,5.0,November 2021,,1,
48,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or45-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Yesy A ,5.0,10/10 HIGHLY RECOMMEND,This hotel was amazing! When we first arrived it was pretty late but Nicole T. and Arturo G. at the front desk were so nice and helpful they gave us a suite with a beautiful view of the river. The room was spacious and clean. We even had a view from our bathroom. Nicole was awesome! She gave us 2 free drinks at the lobby bar. Her warmth and hospitality made our trip that much better. The hotel itself was central to everything. We were able to walk to almost everything. We are definitely staying here on our next trip to Chicago.,,,,,,,November 2021,Traveled as a couple,1,
