Title,Gross,Theaters,Date,Distributor
Bones and All,"$7,834,907","2,727",Nov 23,United Artists Releasing
Memory,"$7,329,043","2,555",Apr 29,Open Road Films (II)
Fall,"$7,240,521","1,548",Aug 12,Lionsgate Films
Men,"$7,018,995","2,212",May 20,A24
Ghostbusters: Afterlife,"$6,981,615","4,315",Nov 19,Sony Pictures Releasing
BTS Permission to Dance on Stage - Seoul: Live Viewing,"$6,840,000",803,Mar 12,Trafalgar Releasing
Marcel the Shell with Shoes On,"$6,333,702",821,Jun 24,A24
She Said,"$5,825,995","2,023",Nov 18,Universal Pictures
Tár,"$5,579,775","1,090",Oct 7,Focus Features
I Heard the Bells,"$5,563,323","1,204",Dec 1,Fathom Events
Encanto,"$5,465,293","3,980",Nov 24,Walt Disney Studios Motion Pictures
Orphan: First Kill,"$5,413,227",557,Aug 19,Paramount Pictures
House of Gucci,"$5,392,076","3,477",Nov 24,United Artists Releasing
The Whale,"$5,334,196","1,721",Dec 9,A24
Lifemark,"$5,180,537","1,531",Sep 9,Fathom Events
Jaws,"$5,100,765","1,246",Sep 2,Universal Pictures
The Cursed,"$4,588,389","1,695",Feb 18,LD Entertainment
Nightmare Alley,"$4,459,805","2,145",Dec 17,Searchlight Pictures
Vengeance,"$4,330,720","1,003",Jul 29,Focus Features
Ponniyin Selvan: Part I,"$4,282,000",500,Sep 30,Sarigama Cinemas
Moonage Daydream,"$4,210,870",733,Sep 16,Neon
Triangle of Sadness,"$4,117,418",610,Oct 7,Neon
Belle,"$4,018,313","1,338",Jan 14,GKIDS
Family Camp,"$3,973,263","1,057",May 13,Roadside Attractions
Cyrano,"$3,873,124",797,Feb 25,United Artists Releasing
Laal Singh Chaddha,"$3,401,324",517,Aug 11,Paramount Pictures
The Outfit,"$3,344,040","1,328",Mar 18,Focus Features
Clerks III,"$3,118,952",5,Sep 16,Fathom Events
The Worst Person in the World,"$3,034,775",554,Feb 4,Neon
K.G.F: Chapter 2,"$2,874,000",-,Apr 15,Viva Pictures
Breaking,"$2,806,359",909,Aug 26,Bleecker Street Media
A Journal for Jordan,"$2,639,255","2,500",Dec 25,Sony Pictures Releasing
Honk for Jesus. Save Your Soul.,"$2,561,270","1,882",Sep 2,Focus Features
Mack & Rita,"$2,540,965","1,930",Aug 12,Gravitas Premiere
Studio 666,"$2,513,963","2,306",Feb 25,Open Road Films (II)
Crimes of the Future,"$2,452,882",773,Jun 3,Neon
Belfast,"$2,364,945","1,255",Nov 12,Focus Features
Gigi & Nate,"$2,280,814","1,220",Sep 2,Roadside Attractions
The Good House,"$2,219,760","1,061",Sep 30,Roadside Attractions
Parallel Mothers,"$2,200,702",684,Dec 24,Sony Pictures Classics
Emily the Criminal,"$2,170,275",483,Aug 12,Roadside Attractions
Umma,"$2,121,025",805,Mar 18,Stage 6 Films
The Wolf and the Lion,"$2,072,173","1,005",Feb 4,Blue Fox Entertainment
E.T. the Extra-Terrestrial,"$2,030,725",793,Aug 12,Universal Pictures
Drive My Car,"$2,019,670",213,Nov 24,Janus Films
Jeepers Creepers: Reborn,"$2,013,935",996,Sep 19,Fathom Events
Watcher,"$1,961,207",764,Jun 3,IFC Films
Mr. Malcolm's List,"$1,885,718","1,384",Jul 1,Bleecker Street Media
Armageddon Time,"$1,860,050","1,006",Oct 28,Focus Features
Radhe Shyam,"$1,860,000",800,Mar 11,NA
Vikram,"$1,770,000",465,Jun 3,Prime Media Pictures
The King's Daughter,"$1,758,961","2,170",Jan 21,Gravitas Ventures
2022 Oscar Nominated Short Films: Live Action/2022 Oscar Nominated Short Films: Animation/2022 Oscar Nominated Short Films: Documentary,"$1,645,735",355,Feb 25,ShortsTV
Infinite Storm,"$1,600,543","1,525",Mar 25,Bleecker Street Media
Vikram Vedha,"$1,589,362",558,Sep 30,Reliance Entertainment
The Duke,"$1,526,970",353,Apr 22,Sony Pictures Classics
Running the Bases,"$1,511,980","1,080",Sep 16,UP2U Films
¿Y cómo es él?,"$1,500,636",325,Apr 22,Lionsgate Films
The Kashmir Files,"$1,485,000",230,Mar 18,Zee Studios
2000 Mules,"$1,465,513",415,May 20,D'Souza Media
It's a Wonderful Life,"$1,439,250",960,Dec 18,Fathom Events
The Godfather,"$1,414,662",596,Feb 25,Paramount Pictures
Spoiler Alert,"$1,384,003",783,Dec 2,Focus Features
Medieval,"$1,374,325","1,311",Sep 9,The Avenue Entertainment
Rogue One: A Star Wars Story,"$1,362,667",255,Aug 26,Walt Disney Studios Motion Pictures
Decision to Leave,"$1,353,860",169,Oct 14,MUBI
Howl's Moving Castle,"$1,212,525",868,Sep 23,Fathom Events
F3: Fun and Frustration,"$1,195,000",400,May 27,NA
Dune: Part One,"$1,151,687","4,125",Oct 22,Warner Bros.
Aftersun,"$1,119,759",97,Oct 21,A24
After Ever Happy,"$1,072,750","1,144",Sep 7,Fathom Events
Fire of Love,"$1,064,079",191,Jul 6,Neon
"Hallelujah: Leonard Cohen, a Journey, a Song","$1,062,353",168,Jul 1,Sony Pictures Releasing
The Contractor,"$1,035,265",489,Apr 1,STX Entertainment
Jug Jugg Jeeyo,"$1,033,000",318,Jun 24,NA
'83,"$1,030,739",486,Dec 23,Reliance Entertainment
Coldplay Music of The Spheres Live Broadcast from Buenos Aires,"$1,015,000",833,Oct 28,Trafalgar Releasing
The Beatles: Get Back - The Rooftop Concert,"$976,712",179,Jan 30,IMAX
Venom: Let There Be Carnage,"$941,330","4,225",Oct 1,Sony Pictures Releasing
Man of God,"$920,561",830,Mar 21,Fathom Events
Empire of Light,"$916,603",436,Dec 9,Searchlight Pictures
Johnny Cash: The Redemption of an American Icon,"$840,580","1,087",Dec 5,Fathom Events
The Tiger Rising,"$835,162",872,Jan 21,Variance Films
Hansan: Rising Dragon,"$834,704",32,Jul 29,Well Go USA Entertainment
Acharya,"$832,000",396,Apr 29,Prime Media Pictures
Petite Maman,"$829,065",224,Apr 22,Neon
Evangelion: 3.0+1.01 Thrice Upon a Time,"$810,744",745,Dec 6,Fathom Events
The Roundup,"$801,281",22,May 19,Capelight Pictures
Star Trek II: The Wrath of Khan,"$794,943",967,Sep 4,Fathom Events
"The Metropolitan Opera HD Live: Kevin Puts: The Hours, Libretto by Greg Pierce","$791,374",826,Dec 10,Fathom Events
The Phantom of the Open,"$747,675",501,Jun 3,Sony Pictures Classics
Saint Michael Meet the Angel,"$643,828",811,Sep 29,Fathom Events
Ante Sundharaniki,"$621,000",350,Jun 10,NA
Unsilenced,"$613,621",186,Jan 21,Zhen Pictures
HIT: The 2nd Case,"$600,000",280,Dec 2,NA
Official Competition,"$593,790",173,Jun 17,IFC Films
Gangubai Kathiawadi,"$592,000",-,Mar 4,Paramount Pictures International
Cuando sea joven,"$588,028",315,Sep 23,Pantelion Films
The Mean One,"$585,025",162,Dec 8,Atlas Distribution Company
"Confess, Fletch","$538,842",516,Sep 16,Paramount Pictures
Call Jane,"$512,770","1,068",Oct 28,Roadside Attractions
The Quintessential Quintuplets Movie,"$502,000",910,Dec 2,Crunchyroll
God's Country,"$493,679",785,Sep 16,IFC Films
Deep in the Heart: A Texas Wildlife Story,"$480,240",69,Jun 3,NA
The Railway Children Return,"$466,391",923,Sep 23,Blue Fox Entertainment
Vivo,"$454,807",705,Apr 25,Fathom Events
Selena,"$444,681",427,Apr 7,NA
Eiffel,"$436,023",308,Apr 29,Blue Fox Entertainment
Brian and Charles,"$430,635",279,Jun 17,Focus Features
King Richard,"$408,056","3,302",Nov 19,Warner Bros.
Superspreader,"$399,370",235,Sep 30,NA
The Inspection,"$385,627",144,Nov 18,A24
Alice,"$372,529",169,Mar 18,Roadside Attractions
Emergency Declaration,"$372,123",42,Aug 12,Well Go USA Entertainment
